docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle
uiuo.ark+=13960=t8pc3pr08,Fuller,Fuller,,1800,1800,s,1800,    ,London;Printed for G.G. and J. Robinson;1800.,1800,,,,,,45289283.0,enk,8723343,1,2,2,v.2,2.0,The son of Ethelwolf,,True,The son of Ethelwolf
nyp.33433074911300,"Summersett, Henry","Summersett, Henry",,1801,1801,s,1801,    ,London;R. Dutton;1801.,1801,,Fiction,English fiction,,,37255122.0,enk,8668933,1,3,3,v. 1,1.0,"Martyn of Fenrose; or, The wizard and the sword. | A romance. | $c: By Henry Summersett ...",,True,"Martyn of Fenrose; or, The wizard and the sword. A romance"
uiuo.ark+=13960=t3bz6wf26,"Helme, Elizabeth","Helme, Elizabeth",d. 1814?,1801,1801,s,1801,    ,London;Printed for Earle and Hemet;1801.,1801,,,,,,6742922.0,enk,8723511,1,4,4,v.4,4.0,St. Margaret's cave,,True,St. Margaret's cave
hvd.hn2hei,"Semple, Elizabeth","Semple, Elizabeth",fl. 1804-1816.,1801,1801,s,1801,    ,London;Printed for E. Lloyd ...;1801.,1801,,Juvenile audience|Fiction,Conduct of life|Children,,,16856814.0,enk,9714515,1,2,2,v.1,1.0,"Summer rambles, or, Conversations, instructive and entertaining : | for the use of children : dedicated (by permission) to Her Royal Highness The Princess Charlotte of Wales ... / | $c: by a Lady.",,True,"Summer rambles, or, Conversations, instructive and entertaining : for the use of children : dedicated (by permission) to Her Royal Highness The Princess Charlotte of Wales"
nyp.33433074954953,"Cullen, Margaret","Cullen, Margaret",,1802,1802,s,1802,    ,London;J. Mawman;1802.,1802,,Fiction,,,,13320564.0,enk,8690927,2,4,4,v. 2,2.0,Home. | A novel.,,True,Home. A novel
uiuo.ark+=13960=t80k31t81,West,West,,1802,1802,s,1802,    ,"London;Printed by A. Strahan, for T.N. Longman and O. Rees;1802.",1802,,,,,,4166256.0,enk,8720611,1,3,3,v.3,3.0,The infidel father,,True,The infidel father
hvd.hn2tpv,"Hunter, Rachel","Hunter, Rachel",1754-1813.,1803,1803,s,1803,    ,"London;Printed for W. Robberds, Norwich; sold by Longman and Rees;1803.",1803,,NotFiction,,,,13369490.0,enk,9711854,1,4,4,v.3,3.0,"Letters from Mrs. Palmerstone to her daughter; | inculcating morality by entertaining narratives. | $c: By Mrs. Hunter, of Norwich.",,True,Letters from Mrs. Palmerstone to her daughter; inculcating morality by entertaining narratives
uc1.b248232,,,,1804,1804,s,1804,    ,London;Printed and Published by A. Neil;1804.,1804,,,Chapbooks,,,6617504.0,enk,6501222,2,2,2,,,The affecting history of Louisa,,True,The affecting history of Louisa
nyp.33433074951942,"Dallas, Robert Charles","Dallas, Robert Charles",1754-1824.,1804,1804,s,1804,    ,London;Printed for T. N. Longman;O. Rees;1804.,1804,,NotFiction,,,,6737461.0,enk,8690990,1,4,4,v. 1,1.0,Aubrey : | a novel.,,True,Aubrey : a novel
uiuo.ark+=13960=t1pg2cj2j,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1804,1804,s,1804,    ,"London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.",1804,,Fiction|NotFiction,"Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life",,,11287183.0,enk,8722402,1,13,6,v.1,1.0,Popular tales,,True,Popular tales
