docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
uiuo.ark+=13960=t3bz6wf26,"Helme, Elizabeth",,,,,d. 1814?,1801,,1801,4,4,v.4,London;Printed for Earle and Hemet;1801.,,,,St. Margaret's cave
hvd.hn2hei,"Semple, Elizabeth",,,,,fl. 1804-1816.,1801,,1801,2,2,v.1,London;Printed for E. Lloyd ...;1801.,Juvenile audience|Fiction,Conduct of life|Children,,"Summer rambles, or, Conversations, instructive and entertaining : for the use of children : dedicated (by permission) to Her Royal Highness The Princess Charlotte of Wales"
mdp.39076006602267,"Mackenzie, Henry",,,,,1745-1831.,1808,,1808,10,7,v.3,"Edinburgh;Printed by J. Ballantyne and co. for A. Constable and co.; [etc., etc.;1808.",Bibliographies|Fiction|NotFiction,"Lord|1711-1792|1745-1795|Tytler, William|Blacklock, Thomas|Abercromby, Alexander Abercromby|1721-1791",,Julia de Roubigné
uiuo.ark+=13960=t9x06cv0p,"Burney, Sarah Harriet",,,,,1772-1844.,1808,,1808,9,9,v.1,London;Printed for G. Wilkie and J. Robinson;1808.,NotFiction,,,Geraldine Fauconberg
njp.32101069165098,"Burney, Sarah Harriet",,,,,1772-1844.,1808,,1808,9,9,vol. 2,London;Printed for G. Wilkie and J. Robinson;1808.,NotFiction,,,Geraldine Fauconberg
uiuo.ark+=13960=t5v705989,"Hook, Theodore Edward",,,,,1788-1841.,1808,,1808,5,3,v.1,London;S. Tipper;1808.,Fiction,,,The man of sorrow;
nyp.33433074917877,"Carter, Elizabeth",,,,,1717-1806.,1809,,1806,9,9,v. 4,London;F. C. and J. Rivington;1809.,London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments,"Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine",,"A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington"
uc1.b3287723,"Cumberland, Richard",,,,,1732-1811.,1809,,1809,7,7,v.2,"London;Printed for Lackington, Allen, and Co.;1809.",Fiction|NotFiction,English fiction,,John de Lancaster.  A novel
uiuo.ark+=13960=t49p3m240,"Meeke, Mary",,,,,d. 1818.,1809,,1809,4,4,v.2,"London;Printed at the Minerva Press, for Lane, Newman;1809.",,,,Langhton Priory
njp.32101066459882,"Goulburn, Edward",,,,,1787-1868.,1811,,1811,4,4,,London;Printed for J. Ebers;1811.,Fiction,,,Frederick de Montford: a novel
njp.32101072790536,Madame de. C,,,,,,1811,,1811,2,2,vol.1,London;Printed for Henry Colburn ...;1811.,Fiction,,,"A winter in Paris; or, Memoirs of Madame de C****:"
njp.32101037977533,"Cuthbertson, Catherine",,,,,,1813,,1813,4,4,vol.5,London;Printed for G. and S. Robinson and Cradock and Joy;1813.,Fiction,,,"Adelaide, or, The countercharm : a novel"
njp.32101068177995,"Hervey, Elizabeth",,,,,fl. 1788-1814.,1814,,1814,8,8,vol.2,London;H. Colburn;1814.,Fiction,,,"Amabel; or, Memoirs of a woman of fashion"
dul1.ark+=13960=t99604g40,"Hawkins, Laetitia Matilda",,,,,1760-1835.,1814,,1814,4,4,v.2,London;printed for F. C. and J. Rivington;1814.,,,,Rosanne;
nyp.33433075742894,"Scott, Walter, Sir",,,,,1771-1832.,1816,,1816,20,4,v. 1,New York;Van Winkle and Wiley;1816.,Bibliographies|Fiction|UnknownGenre|NotFiction,Scottish authors|Social life and customs|English fiction,,The antiquary
njp.32101038161673,"Opie, Amelia Alderson",,,,,1769-1853.,1816,,1816,9,9,vol.2,Boston;Wells and Lilly;1816.,Fiction,,,Valentine's eve
uiuo.ark+=13960=t89g67z7q,"Mackenzie, Mary Jane",,,,,,1820,,1820,10,10,v.1,London;Cadell;1820.,Fiction|NotFiction,English fiction,,"Geraldine; or, Modes of faith and practice"
njp.32101065704296,"Reed, Andrew",,,,,1787-1862.,1821,,1821,4,4,vol.1,Hartford;O. D. Cooke;1821.,Fiction|NotFiction,Friendship,,"No fiction. A narrative, founded on recent and interesting facts"
uiuo.ark+=13960=t4mk6z79p,"Roche, Regina Maria",,,,,1764?-1845.,1823,,1823,5,5,v.1,London;Printed for A. K. Newman and Co.;1823.,,,,Bridal of Dunamore;
wu.89087923348,"Banim, John",,,,,1798-1842.,1826,,1826,6,6,v.2,London;H. Colburn;1826.,Fiction,Fiction,,"Tales by the O'Hara family : second series : comprising the Nowlans, and Peter of the castle"
njp.32101067629947,"Bray, (Anna Eliza), Mrs",,,,,1790-1883.,1826,,1826,4,4,v.2,"London;Longman, Reese, Orme, Brown and Green;1826.",NotFiction,,,"De Foix; or, Sketches of the manners and customs of the fourteenth century. An historical romance"
wu.89101370583,"Smith, Horace",,,,,1779-1849.,1826,,1826,16,16,v.1,London;Henry Colburn;1826.,Fiction|NotFiction,"Commonwealth and Protectorate, 1649-1660|Fiction|History",,"Brambletye house : or, Cavaliers and roundheads : a novel"
uc1.b3327536,"Marquess of, Normanby, Constantine Henry Phipps",,,,,1797-1863.,1827,,1827,2,2,v. 2,London;Saunders and Otley;1827.,Fiction,,,The fall of Bern
uc1.b3322526,"Gleig, G. R. (George Robert)",,,,,1796-1888.,1829,,1829,8,8,v.1,London;H. Colburn;1829.,Fiction|NotBiographical|NotFiction,"Revolution, 1775-1783|Napoleonic Wars, 1800-1815|History|English fiction|Fiction",,The Chelsea pensioners
uc1.b3321261,"Cooper, James Fenimore",,,,,1789-1851.,1830,,1830,17,10,v. 2,London;H. Colburn and R. Bentley;1830.,Bibliographies|Fiction|NotFiction,Passenger ships|Adventure stories|American fiction|Sea stories|Love stories|Fiction,,"The water witch; or, The skimmer of the seas.  A tale"
uc1.b249642,"Grattan, Thomas Colley",,,,,1792-1864.,1831,,1831,5,5,v. 2,London;H. Colburn and R. Bentley;1831.,,,,Jacqueline of Holland
nyp.33433075764427,"Warren, Samuel",,,,,1807-1877.,1831,,1831,5,5,v. 1,New York;J. & J. Harper;1831.,Fiction|NotFiction,,,Affecting scenes : being passages from the diary of a physician
uiuo.ark+=13960=t0ft8zp72,Grey,,,,,,1831,,1831,5,5,v.1,London;Bull;1831.,,,,The way of the world
nyp.33433074937446,"Earl of Beaconsfield, Disraeli, Benjamin",,,,,1804-1881.,1832,,1832,4,3,v. 2,New York;Harper;1832.,Fiction|NotFiction,,,Contarini Fleming; a psychological autobiography
uiuo.ark+=13960=t8gf13p0d,"Disraeli, Benjamin, Earl of Beaconsfield",,,,,1804-1881.,1832,,1832,10,6,v.2,London;John Murray;1832.,Fiction|NotFiction,,,Contarini Fleming: a psychological auto-biography. In four volumes [in 2]
hvd.hwjtfk,"[Cooper, James Fenimore",,,,,1789-1851.],1832,,1824,2,2,v.1,Philadelphia;Carey & Lea;1832 [c1824,NotFiction,,,The pilot; a tale of the sea
uiuo.ark+=13960=t04x5xn0x,"Pickering, Ellen",,,,,d. 1843.,1833,,1833,3,3,v.1,London;R. Bentley;1833.,,,,The heiress
dul1.ark+=13960=t4jm31399,"Manning, Anne",,,,,1807-1879.,1833,,1833,3,3,v.1,London;Baldwin and Cradock;1833.,,"Renier, F. G|Bookplate|Renier, Anne|Provenance",,Village belles
uc2.ark+=13960=t6445pn55,"Morier, James Justinian",,,,,1780?-1849.,1834,,1834,9,9,v.01,London;R. Bentley;1834.,Fiction,,,"Ayesha, the maid of Kars"
uiuo.ark+=13960=t8kd2gf8n,"James, G. P. R. (George Payne Rainsford)",,,,,1801?-1860.,1834,,1834,13,13,v.2,"New-York;Published by Harper & Brothers, no. 82 Cliff-Street, and sold by the booksellers generally throughout the United States.;1834.",Fiction,"France|Fiction|History|Louis XIV, 1643-1715",,The life and adventures of John Marston Hall
uc1.b3322564,"Griffin, Gerald",,,,,1803-1840.,1836,,1836,6,6,v.1,London;R. Bentley;1836.,Fiction|ContainsBiogMaterial,"Monmouth, James Scott|1649-1685|Duke of|Fiction",,The Duke of Monmouth
hvd.32044090343690,"Gore, (Catherine Grace Frances), Mrs",,,,,1799-1861.,1838,,1838,3,3,v.3,London;H. Colburn;1838.,Fiction,,,"Mary Raymond, and other tales"
njp.32101064789611,"Pickering, Ellen",,,,,d. 1843.,1839,,1839,4,4,vol. 2,London;Boone;1839.,Fiction|NotFiction,,,"Nan Darrell; or, The gipsy mother"
uc1.b250187,"Marryat, Frederick",,,,,1792-1848.,1842,,1842,13,9,v. 1,London;H. Colburn;1842.,Bibliographies|Fiction,English fiction,,Percival Keene
uiuo.ark+=13960=t4pk1064z,"Phillips, Samuel",,,,,1814-1854.,1844,,1844,8,8,v.1,Edinburgh;W. Blackwood;1844.,Fiction|NotFiction,,,Caleb Stukely
