"docid"	"allcopiesofwork"	"author"	"authordate"	"category"	"copiesin25yrs"	"enumcron"	"firstpub"	"gender"	"genres"	"imprint"	"inferreddate"	"latestcomp"	"nationality"	"pseudonym"	"realname"	"shorttitle"	"subjects"
"njp.32101063971665"	8	"D'Annunzio, Gabriele"	"1863-1938."	"drama"	8			"m"	"UnknownGenre|NotFiction"	"New York;R. H. Russell;19"	1901	1901	"it"			"Gioconda"	
"mdp.39015010684937"	1	"Synge, J. M. (John Millington)"	"1871-1909."	"drama"	1			"m"	"UnknownGenre"	"Dublin;Maunsel & co.;1911"	1911	1909			"Synge, John Millington"	"Four plays"	
"hvd.hn2hej"	2	"Semple, Elizabeth"	"fl. 1804-1816."	"juvenile"	2	"v.2"		"f"	"Juvenile audience|Fiction"	"London;Printed for E. Llo"	1801	1801				"Summer rambles, or, Conversations, instructive and entertaining : for the use of children : dedicated (by permission) to Her Royal Highness The Princess Charlotte of Wales"	"Conduct of life|Children"
"uc1.b3553822"	2	"Corry, John"	"approximately 1770-"	"juvenile"	2			"m"	"Fiction"	"London;Printed for B. Cro"	1803	1803	"uk"			"The history of Henry Thomson, or The reward of filial affection"	"Chapbooks"
"mdp.39015009231708"	11	"Day, Thomas"	"1748-1789."	"juvenile"	3			"m"	"Juvenile audience|Fiction"	"London;Printed for B. Cro"	1803	1789	"uk"			"The history of Sandford and Merton"	"Juvenile literature|1748-"
"uiuo.ark+=13960=t3cz3x62n"	13	"Edgeworth, Maria"	"1767-1849."	"juvenile"	6	"v.3"	1800	"f"	"Fiction|NotFiction"	"London;Printed for J. Joh"	1804	1804	"uk"			"Popular tales"	"Juvenile literature|X823E"
"dul1.ark+=13960=t6737pj6n"	4	"Berquin"	"1747-1791"	"juvenile"	3			"m"		"New-York;Printed for S. C"	1804	1804	"fr"		"Berquin, Arnaud"	"The looking-glass for the mind; or, Intellectual mirror"	"Van Boskerck, William Web"
"hvd.hn2her"	1			"juvenile"	1			"u"	"NotFiction"	"London;printed for J.Harr"	1804	1804				"The Tame goldfinch,or The unfortunate neglect"	
"nyp.33433066604392"	3	"M. Berquin, (Arnaud)"	"1747-1791."	"juvenile"	2		1787	"m"	"Juvenile audience|Fiction"	"Philadelphia;Printed and "	1805	1791	"fr"		"Berquin, Arnaud"	"[The looking-glass for the mind, or The juvenile friend"	"Children's stories, Frenc"
"uiuo.ark+=13960=t1pg27k2b"	3	"Pinchard"		"juvenile"	3	"v.1"		"f"		"London;Printed for H. Col"	1814	1814	"uk"		"Pinchard, Elizabeth"	"Mystery and confidence"	
"njp.32101007891326"	1	"Taylor, Jane"	"1783-1824."	"juvenile"	1			"f"	"Juvenile audience|Fiction"	"London;Printed for Taylor"	1815	1815	"uk"			"Display : a tale"	"Pride and vanity|Juvenile"
"hvd.hwjw3i"	11	"Edgeworth, Maria"	"1767-1849."	"juvenile"	4	"v.3"	1801	"f"	"Juvenile audience|Fiction"	"London;R. Hunter and Bald"	1821	1821	"uk"			"Moral tales"	"English fiction|Conduct o"
"nyp.33433082531934"	11	"Edgeworth, Maria"	"1767-1849."	"juvenile"	11	"v. 1"		"f"	"Juvenile audience|Fiction"	"Cambridge;Hilliard and Me"	1822	1822	"uk"			"Frank, a sequel to Frank in Early lessons"	"Juvenile fiction|Conduct "
"mdp.39015010950544"	2	"Sherwood, (Mary Martha), 1775-1851, Mrs"	"1775-1851."	"juvenile"	2		1820	"f"	"UnknownGenre|NotFiction"	"Wellington;Salop;Printed "	1827	1827	"uk"			"The governess; or, The little female academy"	
"hvd.hn5dj1"	1			"juvenile"	1			"u"	"Juvenile audience|Fiction"	"Salem, [Mass;Ives and Jew"	1833	1833				"Woodland Cottage, or, Henry and Emma Acton's conversations to their children, on the animal and vegetable world"	"Nature study"
"nyp.33433076062334"	1	"Sherwood, (Mary Martha), 1775-1851, Mrs"	"1775-1851."	"juvenile"	1	"v. 5"	1819	"f"	"Fiction"	"New York;Harper & Brother"	1834	1834	"uk"		"Sherwood, Mary Martha"	"The works of Mrs. Sherwood. Being the only uniform edition ever published in the United States"	
"uc1.b266926"	2			"juvenile"	2			"u"		"Philadelphia;American Sun"	1835	1835				"Ann Connover"	
"njp.32101063604050"	1	"Frost, John"	"1800-1859."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"Philadelphia;J. Crissy;18"	1835	1835	"us"			"A portfolio for youth"	
"hvd.hn5dnc"	1	"Abbott, Jacob"	"1803-1879."	"juvenile"	1			"m"	"NotFiction"	"Boston;T.H. Carter, agent"	1838	1838	"us"			"Rollo at play, or, Safe amusements"	"Readers"
"hvd.32044009812777"	1	"Bowdich, Sarah"	"1791-1856."	"juvenile"	1			"f"	"NotFiction"	"London;Ackermann and Co.,"	1841	1841	"uk"		"Lee, Sarah Bowdich"	"The juvenile album, or tales from far and near :"	
"nyp.33433074931597"	2	"Forrester, Charles Robert"	"1803-1850."	"juvenile"	2	"v. 2"		"m"	"NotFiction"	"London;R. Bentley;1843."	1843	1843	"uk"	"Crowquill, Alfred; Willis, Hal"	"Forrester, Charles Robert"	"Phantasmagoria of fun"	
"uc2.ark+=13960=t19k4bc1s"	1	"Hofland"	"1770-1844"	"juvenile"	1		1825	"f"		"London;A. Hall, Virtue;18"	1850	1850	"uk"		"Hofland, Barbara"	"Moderation;"	
"uc2.ark+=13960=t82j6h609"	1		"1800-1881"	"juvenile"	1			"f"		"New York;G. A. Leavitt;18"	1850	1850	"ir"		"Hall, Anna Maria"	"The Juvenile forget-me-not"	"Gift books"
"nyp.33433000572291"	1	"Hildebrandt, Johann Andreas Christoph"	"1763-1848."	"juvenile"	1			"m"	"Juvenile audience|NotFict"	"New York;M. W. Dodd;1852,"	1851	1848	"de"			"Winter in Spitzbergen : a book for youth"	"Description and travel"
"uc2.ark+=13960=t5w669q8k"	4	"Haven, Alice B. (Alice Bradley)"	"1827-1863."	"juvenile"	4			"f"	"Fiction|Juvenile audience"	"New-York;D. Appleton & Co"	1853	1853	"us"		"Haven, Alice Bradley Neal"	"""All's not gold that glitters"""	"Gold mines and mining|Juv"
"uc1.b4104064"	2	"Abbott, Jacob"	"1803-1879."	"juvenile"	2		1835	"m"	"Juvenile audience|Fiction"	"New York;T. Y. Crowell;18"	1855	1855	"us"			"Rollo learning to read"	
"mdp.39015064810974"	1	"Old Humphrey"	"1787-1854."	"juvenile"	1			"m"	"NotFiction"	"Philadelphia;Presbyterian"	1855	1854	"uk"	"Old Humphrey"	"Mogridge, George"	"Learning to converse"	"Conduct of life|Conversat"
"njp.32101063604563"	2	"Mudge, Zachariah Atwell"	"1813-1888."	"juvenile"	2			"m"	"Juvenile audience|NotFict"	"Boston;Degen & Estes, 23 "	1857	1857	"us"			"A will, and a way :  or, The boy in the city"	
"nyp.33433082529615"	3	"Optic, Oliver"	"1822-1897."	"juvenile"	2			"m"	"Juvenile audience|Fiction"	"Boston;Brown, Bazin;1857."	1857	1857	"us"		"Adams, William Taylor"	"Now or never : or, The adventures of Bobby Bright, a story for young folks"	
"uc1.b3331910"	1			"juvenile"	1				"Juvenile audience|Fiction"	"New York;Dick & Fitzgeral"	1858	1858				"The book of one thousand tales and amusing adventures : a work for youth"	
"nyp.33433082290986"	1	"Yonge, Charlotte M. (Charlotte Mary)"	"1823-1901."	"juvenile"	1			"f"	"NotFiction"	"New York;General Prot. Ep"	1859	1859	"uk"		"Yonge, Charlotte Mary"	"Ben Sylvester's word"	
"uc2.ark+=13960=t84j0hc8r"	1	"Hofland"	"1770-1844."	"juvenile"	1			"f"		"London;A. Hall, Virtue;18"	1859	1859	"uk"		"Hofland, Barbara"	"Alicia and her aunt; or, Think before you speak"	
"uc2.ark+=13960=t01z42s2c"	1			"juvenile"	1			"f"		"New York;Gen. Prot. Episc"	1859	1859				"Coralie and Rosalie, the little sisters of charity"	
"nyp.33433082529359"	1	"Adams, C. (Charlotte)"		"juvenile"	1			"f"	"Juvenile audience|Fiction"	"New York;D. Appleton & Co"	1861	1861	"us"			"Edgar Clifton, or, Right and wrong. A story of school life"	"Children's stories, Engli"
"njp.32101063604167"	1	"Guernsey, Lucy Ellen"	"1826-1899."	"juvenile"	1			"f"	"Juvenile audience|Fiction"	"New York;Anson D.F. Rando"	1863	1863	"us"			"Tabby and her travels : or the holiday adventures of a kitten ; a Christmas and New Year's story"	
"nyp.33433082547013"	1	"Optic, Oliver"	"1822-1897."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"Boston;Lee and Shepard .."	1864	1864	"us"		"Adams, William Taylor"	"Dolly and I : a story for little folks"	
"nyp.33433082531827"	1	"Eddy, Daniel C. (Daniel Clarke)"	"1823-1896."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"New York;Sheldon;1868, c1"	1864	1864	"us"		"Eddy, Daniel Clarke"	"Walter in Constantinople"	"Description and travel|Ch"
"nyp.33433082528005"	1	"Abbott, Jacob"	"1803-1879."	"juvenile"	1			"m"	"NotFiction"	"New York;Sheldon;1864."	1864	1864	"us"			"The steeple trap"	
"nyp.33433082303151"	1	"Franklin, Josephine"		"juvenile"	1			"f"	"Juvenile audience|Fiction"	"Boston;Taggard and Thomps"	1865	1865	"us"			"Martin and the miller"	
"nyp.33433074920962"	1	"Leslie, Madeline"	"1815-1893."	"juvenile"	1			"f"	"NotFiction"	"Boston;Henry A. Young;186"	1867	1867	"us"	"Aunt Hattie, Madeline Leslie"	"Baker, Harriette Newell Woods"	"The chest of tools"	
"nyp.33433082529532"	1	"Optic, Oliver"	"1822-1897."	"juvenile"	1			"m"	"Fiction"	"Boston;Lee and Shepard;18"	1868	1868	"us"		"Adams, William Taylor"	"The starry flag; or, The young fisherman of Cape Ann"	
"uc2.ark+=13960=t7zk57871"	3	"McKeever, Harriet B. (Harriet Burn)"	"1807-1886."	"juvenile"	3			"f"	"Fiction"	"New York;Hurst;1869"	1869	1869	"us"		"McKeever, Harriet Burn"	"Westbrook parsonage"	
"njp.32101063603573"	1	"Leslie, Madeline"	"1815-1893."	"juvenile"	1			"f"	"Fiction"	"Boston;Henry A. Young;186"	1869	1869	"us"	"Leslie, Madeline"	"Baker, Harriette Newell Woods"	"The violet-girls : or, Susy and Louise"	
"nyp.33433082284526"	1	"Aimwell, Walter"	"1822-1859."	"juvenile"	1			"m"	"Juvenile audience|Fiction"	"Boston;Gould and Lincoln;"	1870	1859	"us"	"Aimwell, Walter"	"Simonds, William"	"Whistler; or, The manly boy"	"Children's stories, Ameri"
"njp.32101068170230"	1	"Hosmer, Margaret"	"1830-1897.|"	"juvenile"	1			"f"	"NotFiction"	"Philadelphia;Porter & Coa"	1870	1870	"us"	"A Pair of Hands"	"Hosmer, Margaret|Dunalp, Julia"	"Under the holly. A book for girls"	
"uc1.b248787"	2	"Eggleston, Edward"	"1837-1902."	"juvenile"	2		1870	"m"		"Chicago [Ill.;Adams, Blac"	1872	1870	"us"			"Mr. Blake's walking stick"	"Christmas stories"
"nyp.33433082302906"	2	"Foote, Edward B. (Edward Bliss)"	"1829-1906."	"juvenile"	2	"v. 4"		"m"	"NotFiction"	"New York;Murray Hill Pub."	1874	1874	"us"			"Sammy Tubbs, the boy doctor and ""Sponsie"" the troublesome monkey"	"Physiology|Anatomy|Popula"
"nyp.33433006640944"	1	"Kirby, Mary"	"1817-1893."	"juvenile"	1			"f"	"Juvenile audience|Fiction"	"London;T. Nelson and Sons"	1875	1875	"uk"			"Aunt Martha's corner cupboard : a story for little boys and girls"	"Food|Juvenile literature"
"nyp.33433074946900"	1	"Coates, E"		"juvenile"	1			"f"	"Fiction"	"London;The Religious Trac"	1879	1879	"uk"			"While they are with us"	"English fiction"
"uiuo.ark+=13960=t9h427g45"	4	"Jefferies, Richard"	"1848-1887."	"juvenile"	3	"v.2"		"m"	"Fiction"	"London;Sampson Low, Marst"	1882	1882	"uk"			"Bevis"	
"uc2.ark+=13960=t6542jv7b"	1	"Finley, Martha"	"1828-1909."	"juvenile"	1			"f"		"New York;Dodd, Mead;c1884"	1884	1884	"us"			"Mildred at home"	
